title,size_mib,year,folder_path,rep_video_path,size_bytes,reason,tokens,flagged_count,yts_title,yts_year,yts_url,yts_quality_available,yts_next_quality,magnet
Bad Boys,550.72,1995,/Volumes/Extreme SSD/Movies/Bad Boys (1995),/Volumes/Extreme SSD/Movies/Bad Boys (1995)/BdBys (1995) BRRip 550mb.mkv,577476837,tiny<700MiB,,1,Bad Boys,1995,https://yts.mx/movies/bad-boys-1995,1080p.bluray|2160p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:C3169C3993C21CE6528EFA811E62EBB1C9C7FB5B&dn=Bad%20Boys.1080p.bluray
Bad Lieutenant,699.77,,/Volumes/Extreme SSD/Movies/Bad Lieutenant,/Volumes/Extreme SSD/Movies/Bad Lieutenant/Bad_Lieutenant [NC-17] (xvid110-sickboy88).avi,733757440,tiny<700MiB;tokens,XviD,1,Bad Lieutenant,1992,https://yts.mx/movies/bad-lieutenant-1992,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:ACC9227EF5A3F05A04AB2EA00F436EF3D25164E5&dn=Bad%20Lieutenant.1080p.bluray
Basic Instinct,619.44,1992,/Volumes/Extreme SSD/Movies/Basic Instinct,/Volumes/Extreme SSD/Movies/Basic Instinct/Basic.Instinct.1992.DVDRip.XviD-MaX.[www.descargasweb.net].avi,649526784,tiny<700MiB;tokens,DVDRip|XviD,1,Basic Instinct,1992,https://yts.mx/movies/basic-instinct-1992,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:9612702282AEB4CB65827BA17A2375295FAFBE3C&dn=Basic%20Instinct.2160p.bluray
Before Sunrise,402.41,1995,/Volumes/Extreme SSD/Movies/Before Sunrise (1995),/Volumes/Extreme SSD/Movies/Before Sunrise (1995)/Before Sunrise.1995.DVDRip.x264.480p.YIFY.mkv,421958766,tiny<700MiB;tokens,480p|DVDRip,1,Before Sunrise,1995,https://yts.mx/movies/before-sunrise-1995,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:067DB603543E51450A2B62D42CFA367BCEFFB413&dn=Before%20Sunrise.1080p.bluray
Brother Bear,699.18,,/Volumes/Extreme SSD/Movies/Brother Bear,/Volumes/Extreme SSD/Movies/Brother Bear/Brother Bear.avi,733147136,tiny<700MiB,,1,Brother Bear,2003,https://yts.mx/movies/brother-bear-2003,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:A690610D1987F0BC4E842C3838DEBE5906D5ED25&dn=Brother%20Bear.1080p.bluray
Casablanca,601.97,1942,/Volumes/Extreme SSD/Movies/Casablanca (1942),/Volumes/Extreme SSD/Movies/Casablanca (1942)/Casablanca.1942.720.x264.YIFY.mkv,631209143,tiny<700MiB,,1,Casablanca,1942,https://yts.mx/movies/casablanca-1942,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:D4F40FEDFB31D8EFBCB0611D25ABE37FCD057DE9&dn=Casablanca.2160p.bluray
Cell 211,699.86,2009,/Volumes/Extreme SSD/Movies/Cell.211.2009.BDRip.XviD-NODLABS,/Volumes/Extreme SSD/Movies/Cell.211.2009.BDRip.XviD-NODLABS/cell.211.2009.bdrip.xvid-nodlabs.avi,733853696,tiny<700MiB;tokens,XviD,1,Cell 211,2009,https://yts.mx/movies/cell-211-2009,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:3128B990866E76F285559F0913138F3A119F4DDB&dn=Cell%20211.1080p.bluray
Cheap Thrills,272.15,2013,/Volumes/Extreme SSD/Movies/Cheap.Thrills.2013.SweSub.BRRip.x264-SWAXXON,/Volumes/Extreme SSD/Movies/Cheap.Thrills.2013.SweSub.BRRip.x264-SWAXXON/Cheap.Thrills.2013.SweSub.BRRip.x264-SWAXXON.mp4,285365065,tiny<700MiB,,1,Cheap Thrills,2013,https://yts.mx/movies/cheap-thrills-2013,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:E5744F6E31996FBB924EEF21566F097967405A18&dn=Cheap%20Thrills.1080p.bluray
Chicken Little,699.62,,/Volumes/Extreme SSD/Movies/Chicken Little,/Volumes/Extreme SSD/Movies/Chicken Little/Chicken.Little[2005]DvDrip.AC3[Eng]-aXXo.avi,733601792,tiny<700MiB;tokens,DVDRip,1,Chicken Little,2005,https://yts.mx/movies/chicken-little-2005,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:141099F2DA68708389F30B21B5BBDBEE6F2946A9&dn=Chicken%20Little.1080p.bluray
Choke,699.85,,/Volumes/Extreme SSD/Movies/Choke [2008],/Volumes/Extreme SSD/Movies/Choke [2008]/Choke[2008]DvDrip[Eng]-FXG.avi,733849656,tiny<700MiB;tokens,DVDRip,1,Choke,2020,https://yts.mx/movies/choke-2020,1080p.web|720p.web,1080p,magnet:?xt=urn:btih:F4B342374488429BDC5DE8C2476A4FC38E363860&dn=Choke.1080p.web
